Round,kT,Magnetization
1,3,0.005695
1,2.99,0.0037055
1,2.98,0.0016325
1,2.97,0.0055475
1,2.96,0.006646
1,2.95,0.0075925
1,2.94,0.0168975
1,2.93,0.006908
1,2.92,0.0081865
1,2.91,0.001354
1,2.9,0.005769
1,2.89,0.002255
1,2.88,0.004195
1,2.87,0.0056975
1,2.86,0.000475
1,2.85,0.000264
1,2.84,0.001153
1,2.83,0.0162145
1,2.82,0.0033645
1,2.81,0.0204655
1,2.8,0.0144175
1,2.79,0.0128355
1,2.78,0.004248
1,2.77,0.0090095
1,2.76,0.011122
1,2.75,0.009393
1,2.74,0.0011265
1,2.73,0.0065585
1,2.72,0.0052045
1,2.71,0.0027725
1,2.7,0.006904
1,2.69,0.0080425
1,2.68,0.00369
1,2.67,0.022397
1,2.66,0.0017625
1,2.65,0.0255225
1,2.64,0.005582
1,2.63,0.0036535
1,2.62,0.03674
1,2.61,0.016392
1,2.6,0.0067825
1,2.59,0.015308
1,2.58,0.025877
1,2.57,0.02488
1,2.56,0.0042465
1,2.55,0.0476855
1,2.54,0.00647
1,2.53,0.075764
1,2.52,0.0282225
1,2.51,0.0522485
1,2.5,0.1089095
1,2.49,0.011638
1,2.48,0.046847
1,2.47,0.052764
1,2.46,0.0038235
1,2.45,0.000635
1,2.44,0.031905
1,2.43,0.053815
1,2.42,0.067664
1,2.41,0.0037165
1,2.4,0.033779
1,2.39,0.0851045
1,2.38,0.164956
1,2.37,0.1084835
1,2.36,0.0565225
1,2.35,0.2496825
1,2.34,0.444403
1,2.33,0.2610265
1,2.32,0.2995975
1,2.31,0.5723135
1,2.3,0.617399
1,2.29,0.603774
1,2.28,0.606278
1,2.27,0.6158005
1,2.26,0.700493
1,2.25,0.742557
1,2.24,0.72423
1,2.23,0.753649
1,2.22,0.759022
1,2.21,0.794323
1,2.2,0.79985
1,2.19,0.809921
1,2.18,0.8255245
1,2.17,0.815727
1,2.16,0.8332355
1,2.15,0.8398335
1,2.14,0.840733
1,2.13,0.859508
1,2.12,0.860764
1,2.11,0.8604505
1,2.1,0.8678465
1,2.09,0.865911
1,2.08,0.8816245
1,2.07,0.8817235
1,2.06,0.882541
1,2.05,0.8954335
1,2.04,0.892973
1,2.03,0.9023265
1,2.02,0.90237
1,2.01,0.9087835
1,2,0.910786
1,1.99,0.9150255
1,1.98,0.9200845
1,1.97,0.9202145
1,1.96,0.925426
1,1.95,0.9250745
1,1.94,0.929266
1,1.93,0.9325665
1,1.92,0.9339125
1,1.91,0.9372795
1,1.9,0.938692
1,1.89,0.940184
1,1.88,0.9424615
1,1.87,0.944121
1,1.86,0.9462575
1,1.85,0.9497195
1,1.84,0.950322
1,1.83,0.952069
1,1.82,0.9527
1,1.81,0.9546975
1,1.8,0.9572065
1,1.79,0.958509
1,1.78,0.9607305
1,1.77,0.960787
1,1.76,0.9631785
1,1.75,0.9640345
1,1.74,0.9655415
1,1.73,0.966805
1,1.72,0.967997
1,1.71,0.9693065
1,1.7,0.9702745
1,1.69,0.970464
1,1.68,0.9719795
1,1.67,0.9729815
1,1.66,0.974301
1,1.65,0.9754855
1,1.64,0.9765465
1,1.63,0.9769475
1,1.62,0.9776455
1,1.61,0.9789775
1,1.6,0.979806
1,1.59,0.980311
1,1.58,0.981019
1,1.57,0.981976
1,1.56,0.9829565
1,1.55,0.9831575
1,1.54,0.983901
1,1.53,0.9845105
1,1.52,0.9853265
1,1.51,0.9862045
1,1.5,0.986249
1,1.49,0.987092
1,1.48,0.9875965
1,1.47,0.988127
1,1.46,0.9887715
1,1.45,0.98905
1,1.44,0.9896885
1,1.43,0.990091
1,1.42,0.9906125
1,1.41,0.991043
1,1.4,0.9915135
1,1.39,0.991659
1,1.38,0.9920175
1,1.37,0.9924295
1,1.36,0.992844
1,1.35,0.993112
1,1.34,0.993601
1,1.33,0.993773
1,1.32,0.994223
1,1.31,0.9945605
1,1.3,0.9947075
1,1.29,0.9950035
1,1.28,0.995315
1,1.27,0.995597
1,1.26,0.9957595
1,1.25,0.996102
1,1.24,0.996204
1,1.23,0.996462
1,1.22,0.9966355
1,1.21,0.996901
1,1.2,0.9970935
1,1.19,0.997186
1,1.18,0.997424
1,1.17,0.997555
1,1.16,0.997674
1,1.15,0.9978085
1,1.14,0.9979935
1,1.13,0.998084
1,1.12,0.9982485
1,1.11,0.998345
1,1.1,0.998487
1,1.09,0.998583
1,1.08,0.998693
1,1.07,0.9987265
1,1.06,0.9988265
1,1.05,0.9989325
1,1.04,0.998986
1,1.03,0.999034
1,1.02,0.9991255
1,1.01,0.9992465
1,1,0.999256
2,1,0.999269
2,1.01,0.999206
2,1.02,0.999187
2,1.03,0.999048
2,1.04,0.9990135
2,1.05,0.998937
2,1.06,0.99882
2,1.07,0.9987165
2,1.08,0.998678
2,1.09,0.9984895
2,1.1,0.9984155
2,1.11,0.9983335
2,1.12,0.9982485
2,1.13,0.998106
2,1.14,0.997961
2,1.15,0.9978605
2,1.16,0.99773
2,1.17,0.997556
2,1.18,0.9973745
2,1.19,0.997238
2,1.2,0.9970205
2,1.21,0.9967665
2,1.22,0.9966555
2,1.23,0.9964025
2,1.24,0.996263
2,1.25,0.9960075
2,1.26,0.9957755
2,1.27,0.995459
2,1.28,0.9952745
2,1.29,0.995104
2,1.3,0.9947665
2,1.31,0.99458
2,1.32,0.994229
2,1.33,0.993954
2,1.34,0.993554
2,1.35,0.9931195
2,1.36,0.992878
2,1.37,0.9925135
2,1.38,0.9921175
2,1.39,0.991713
2,1.4,0.991272
2,1.41,0.990843
2,1.42,0.99046
2,1.43,0.9901405
2,1.44,0.9897555
2,1.45,0.9889445
2,1.46,0.9886875
2,1.47,0.9884675
2,1.48,0.98755
2,1.49,0.9871655
2,1.5,0.986446
2,1.51,0.9857145
2,1.52,0.9852905
2,1.53,0.9846375
2,1.54,0.984091
2,1.55,0.9833645
2,1.56,0.9827585
2,1.57,0.9818695
2,1.58,0.981203
2,1.59,0.98075
2,1.6,0.9798395
2,1.61,0.978875
2,1.62,0.977736
2,1.63,0.9766855
2,1.64,0.9759435
2,1.65,0.9755305
2,1.66,0.974316
2,1.67,0.972887
2,1.68,0.97224
2,1.69,0.9710425
2,1.7,0.969713
2,1.71,0.9690395
2,1.72,0.9676755
2,1.73,0.9669945
2,1.74,0.9662405
2,1.75,0.9651735
2,1.76,0.9632455
2,1.77,0.960778
2,1.78,0.959687
2,1.79,0.958083
2,1.8,0.956253
2,1.81,0.95507
2,1.82,0.9519565
2,1.83,0.9527495
2,1.84,0.9495845
2,1.85,0.947581
2,1.86,0.94614
2,1.87,0.945148
2,1.88,0.943252
2,1.89,0.9399935
2,1.9,0.9396355
2,1.91,0.9356215
2,1.92,0.934201
2,1.93,0.9307535
2,1.94,0.928557
2,1.95,0.926919
2,1.96,0.9235935
2,1.97,0.91883
2,1.98,0.917963
2,1.99,0.9166265
2,2,0.911322
2,2.01,0.908864
2,2.02,0.902174
2,2.03,0.898122
2,2.04,0.894448
2,2.05,0.8967965
2,2.06,0.8854125
2,2.07,0.879227
2,2.08,0.87263
2,2.09,0.8723185
2,2.1,0.869626
2,2.11,0.861351
2,2.12,0.861727
2,2.13,0.8472715
2,2.14,0.855043
2,2.15,0.823944
2,2.16,0.8284835
2,2.17,0.797
2,2.18,0.806383
2,2.19,0.7921185
2,2.2,0.7986455
2,2.21,0.7896535
2,2.22,0.76626
2,2.23,0.744858
2,2.24,0.7331035
2,2.25,0.7345965
2,2.26,0.7303175
2,2.27,0.5741445
2,2.28,0.188475
2,2.29,0.0824215
2,2.3,0.5388505
2,2.31,0.575548
2,2.32,0.4257935
2,2.33,0.4633105
2,2.34,0.461007
2,2.35,0.1716275
2,2.36,0.0119465
2,2.37,0.1761945
2,2.38,0.1263425
2,2.39,0.1766855
2,2.4,0.146669
2,2.41,0.066118
2,2.42,0.186965
2,2.43,0.166852
2,2.44,0.0651225
2,2.45,0.0040595
2,2.46,0.1276055
2,2.47,0.006645
2,2.48,0.033147
2,2.49,0.024969
2,2.5,0.03267
2,2.51,0.008909
2,2.52,0.072875
2,2.53,0.075306
2,2.54,0.001625
2,2.55,0.0179635
2,2.56,0.027237
2,2.57,0.011956
2,2.58,0.003758
2,2.59,0.0072945
2,2.6,0.0105045
2,2.61,0.001978
2,2.62,0.044317
2,2.63,0.0053665
2,2.64,0.0146375
2,2.65,0.037204
2,2.66,0.042858
2,2.67,0.0169845
2,2.68,0.024102
2,2.69,0.031705
2,2.7,0.011737
2,2.71,0.000249
2,2.72,0.024891
2,2.73,0.0061495
2,2.74,0.0189135
2,2.75,0.0017
2,2.76,0.0072075
2,2.77,0.010237
2,2.78,0.0073385
2,2.79,0.007886
2,2.8,0.0161275
2,2.81,0.0032095
2,2.82,0.004709
2,2.83,0.0059535
2,2.84,0.007503
2,2.85,0.0005705
2,2.86,0.0103045
2,2.87,0.0059395
2,2.88,0.000837
2,2.89,0.0028975
2,2.9,0.004934
2,2.91,0.0222965
2,2.92,0.018793
2,2.93,0.0212715
2,2.94,0.007104
2,2.95,0.000603
2,2.96,0.0198795
2,2.97,0.0084445
2,2.98,0.0022345
2,2.99,0.007238
2,3,0.002547
